,movie_title,content_rating,genres,directors,authors,actors,original_release_date,runtime,production_company,tomatometer_rating,tomatometer_count,audience_rating,audience_count,meta_score,summary,combo_score,rating_diff
163,Kung Fu Panda 3,PG,Animation,"Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger","Kate Hudson, David Cross, Carter Hastings, Mia Sinclair Jenness, Gus Culligan, Lena Golia, Samuel Black, Joseph Izzo, Lindsay Russell, Barbara Dirickson, Al Roker, Willie Geist, Fred Tatasciore, Pax JoliePitt, Zahara JoliePitt, Knox JoliePitt, April Hong, Ming Tsai, Mick Wingert, Stephen Kearin, Kelly Cooney, Megan Richie, Mike Mitchell, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, Jackie Chan, Seth Rogen, Lucy Liu, James Hong, Ann Ceurvels, Tanja Dexters, Maarten Vancoillie, Dorothee Dauwe, Mylne Jampano, JK Simmons, Randall Duk Kim, Steele Gagnon, Liam Knight, Wayne Knight, Manu Payet, Emmanuel Jacomy, Pierre Arditi, Jrmie Covillault, William Coryn, Xavier Fagnon, Marc Arnaud",1/29/2016,95,DreamWorks Animation,87,177,78,99923,66,"When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas. [20th Century Fox]",76.5,1.5
164,La La Land,PG-13,"Comedy, Drama, Musical & Performing Arts",Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, JK Simmons, Rosemarie DeWitt, Finn Wittrock, Callie Hernandez, Sonoya Mizuno, Jessica Rothe, Tom Everett Scott, Josh Pence, Amie Conn, Terry Walters, Claudine Claudio, Thom Shelton, Jason Fuchs, Cinda Adams, Olivia Hamilton, Anna Chazelle, DA Wallach, Damon Gupton, Christopher Michael Stevens, R Keith Harris, Kaveh Rastegar, David Douglas, Nicole Coulon, Miles Anderson, John Hindman, Valarie Rae Miller, Zoe Hall, Shaylah J Stevens, Natalie Imani, Briana Lee, Bobo Chang, Robert Haynes, Nicole Wolf, Corrin Evans, Camryn Ray Cavaliero, Eddie Clifton, Cal Bennett, Nerda Wheeler, Javier Gonzlez, Khirye Tyler, Arthur Horowitz",12/9/2016,128,Liongate Films,91,458,81,71314,94,"Mia (Emma Stone), an aspiring actress, serves lattes to movie stars in between auditions, and Sebastian (Ryan Gosling), a dedicated jazz musician, scrapes by playing cocktail piano gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",92.5,-11.5
165,Lamb,R,Drama,Ross Partridge,Ross Partridge,"Ross Partridge, Oona Laurence, Lindsay Pulsipher, Scoot McNairy, Jennifer LaFleur, Ron Burkhardt, Tom Bower, Jess Weixler, Joel Murray, Mark Kelly, Matt Oberg, Amirah N Griffin, Mackenzie Paige, Erin Kennedy Portress, Robert Longstreet, Drew Langer, Iris Elliot, Maggie Raymond, Maggie Raymond, Jennifer Spriggs, Betty Richardson, Kathleen Vernon, John Kemp, Kay Kemp",1/8/2016,97,Silent Helicopter,82,34,54,902,62,"When a man meets a young girl in a parking lot, he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.",72,-18
166,Lazer Team,PG-13,"Comedy, Science Fiction & Fantasy",Matt Hullum,"Matt Hullum, Chris Demarais, Josh Flanagan, Burnie Burns","Alan Ritchson, Colton Dunn, Gavin Free, Burnie Burns, Alexandria Deberry, Michael Jones, Steve Shearer, Kirk C Johnson, Benjamin Scott, Johnny Walter, Chris Demarais, Jeremy St James, Patrick Grover, Bobby Hernandez, Irina Voronina, Gus Sorola, Blaine Gibson, Brandon Farmahini, Shannon McCormick, Anthony Abron, Michaela Jean Burton, Travis Martin, Bill Wise, Dale Watson, Korey Coleman, Joel Heyman, Ed Robertson, Ron Oliveira, Yomary Cruz, Jon Risinger, Justine Ezarik, Josh Flanagan, Alexis Magee, Subhash Dutta, Sean Duggan, Alan Abdine, Liz Beckham, Yvonne Secretan, Tom Booker, Kira Pozehl, Patrick Salazar, Mike Dell, Arthur Bryan, Carmichael Kid Simon, Webb Hullum, Dalton Gray, Gregory R Kelly, Neil deGrasse Tyson, Gray G Haddock, Gray Haddock, Matt Hullum, Lindsay Jones, Lindsay Jones, Patrick Rodriguez, Thomas Eilers Copeland, Anna Hullum, Mills Hullum, Teddy Burns, JD Burns, Shota Nakama",1/27/2016,102,Rooster Teeth Productions,60,35,69,4268,42,"When four small-town losers stumble across an alien crash site containing an incredible battle suit, they soon find themselves responsible for the fate of the entire planet. With this new alien equipment genetically bound to them, and the government hot on their heels, the foursome have no choice but to work together as one to save humanity. All they have to do is learn to use a strange alien device meant for only one-person, train for a battle against an omnipotent enemy, and not kill each other in the process. They may not be strong, smart, or talented... but theyre Lazer Team.",51,18
167,Len and Company,NR,Drama,Tim Godsall,"Katharine Knight, Tim Godsall","Rhys Ifans, Juno Temple, Jack Kilmer, Keir Gilchrist, Kathryn Hahn, Elias Toufexis, Tyler Hynes, Jonathan Potts, Mark OBrien IX, Tracey Hoyt, Peter Outerbridge, Matt Baram, Justin Mader, Jenny Raven, Chris Young, Dale Whibley, Clark Devins, Dennis Long, Billy Morrison, Lovell AdamsGray",6/10/2016,102,Anonymous Content,70,10,54,154,60,"Following a very public meltdown, Len (Rhys Ifans), a punk rocker-turned-in-demand pop producer, retreats to his country home for some time away from the pressures of the business. His solitude is interrupted, however, when he receives a visit from some surprise guestshis estranged son (Jack Kilmer) and pop star protg (Juno Temple)who arrive with complications of their own and who shake the prickly Len out of his stupor. [IFC Films]",65,-11
168,Life on the Line,R,"Action & Adventure, Drama",David Hackl,"Primo Brown, Peter I. Horton, Marvin Peart","John Travolta, Kate Bosworth, Devon Sawa, Julie Benz, Gil Bellows, Ryan Robbins, Sharon Stone, Ty Olsson, Reese Alexander, Emilie Ullerup, Stuart Stone, Matt Bellefleur, Lydia Styslinger, Christian Michael Cooper, Sidney Grigg, Jim Shield, Justin Louis, Angelina Lyubomirova, Toby Levins, Milo Shandel, Brenda Matthews, Michael D Adamthwaite, Jocelyn Panton, Deejay Jackson, Curtis Caraviggio, Michael Robinson, Bruce Dawson, Ryleigh Gillespie, Jorge Vargas, Dean Wray, Edwin Perez, Elan Ross Gibson, Derek Hamilton, Brian Pearson, David Hackl, Larry Hopkins, Chad Dubea, Primo Brown, Todd Giroux, Marvin Peart, Peter I Horton, Jamie Goehring, David McPherson, Kamid Mosby, Rosa Morris Peart, Bryant Pike, Jonathan Shore, Shawn Williamson",11/18/2016,98,Marro Films,0,15,35,410,24,"Life on the Line is an action thriller and family drama centered on Beau (John Travolta), his beloved niece Bailey (Kate Bosworth) and the hardworking men who risk their lives to work ""on the line"" and keep the electric grid running. These unsung heroes brave raging storms and dangerously dizzying heights in their dedication to keeping the populace safe. Toiling hundreds of feet in the air on wires carrying as much as 500,000 volts of electricity, tragedy is often inches away. Haunted by the electrocution death of his brother, Beau is devoted to Bailey and determined to see her go off to college and away from the life of linemen. Bailey has other plans, which include the strapping second-generation lineman Duncan (Devon Sawa), whom Beau despises. A deadly tempest is brewing and headed straight to their Texas town. Beau, Duncan and a legion of linemen are thrust into the eye of the storm and must face down impending disaster to keep their community connected. [Lionsgate Premiere]",12,23
169,"Life, Animated",PG,Documentary,Roger Ross Williams,,"Owen Suskind, Ron Suskind, Jonathan Freeman, Gilbert Gottfried",7/1/2016,91,A&E IndieFilms,94,116,81,3785,75,"Life, Animated is the inspirational story of Owen Suskind, a young man who was unable to speak as a child until he and his family discovered a unique way to communicate by immersing themselves in the world of classic Disney animated films. This emotional coming-of-age story follows Owen as he graduates to adulthood and takes his first steps toward independence.",84.5,-3.5
170,Lights Out,PG-13,Horror,David F. Sandberg,Eric Heisserer,"Teresa Palmer, Gabriel Bateman, Maria Bello, Alexander DiPersia, Billy Burke, Alicia VelaBailey, Andi Osho, Lotta Losten, Rolando Boyce, Maria Russell, Elizabeth Pan, Amiah Miller, Ava Cantrell, Emily Alyn Lind",7/22/2016,77,RatPac-Dune Entertainment,76,176,61,27525,58,"When Rebecca (Teresa Palmer) left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasnt real when the lights went outand now her little brother, Martin (Gabriel Bateman), is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie (Maria Bello), has reemerged. But this time, as Rebecca gets closer to unlocking the truth, there is no denying that all their lives are in dangeronce the lights go out.",67,-6
171,Lion,PG-13,Drama,Garth Davis,"Saroo Brierley, Luke Davies","Dev Patel, Rooney Mara, Nicole Kidman, David Wenham, Sunny Pawar, Abhishek Bharate, Priyanka Bose, Tannishtha Chatterjee, Nawazuddin Siddiqui, Deepti Naval, Divian Ladwa, Daniela Farinacci, Sachin Joab, Pallavi Sharda, Arka Das, Riddhi Sen",11/25/2016,121,See-Saw Films,84,264,91,39787,69,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",76.5,14.5
172,Little Men,PG,Drama,Ira Sachs,"Ira Sachs, Mauricio Zacharias","Theo Taplitz, Michael Barbieri II, Paulina Garca, Greg Kinnear, Jennifer Ehle, Yolanda T Ross, Kellan McCann, Mauricio Bustamante, Johnny Serret, Melanie Mahanna, Stan Carp, John Procaccino, Ching ValdesAran",8/5/2016,85,Race Point Films,97,143,63,7429,86,"Jake (Theo Taplitz) is a quiet, sensitive middle schooler with dreams of being an artist. He meets the affably brash Tony (Michael Barbieri) at his grandfather's funeral, and the unlikely pair soon hit it off. The budding friendship is put at risk, however, when a rent dispute between Jake's father, Brian (Greg Kinnear), and Tony's mother, Leonor (Paulina Garcia), threatens to become contentious.",91.5,-28.5
173,Little Sister,NR,Comedy,Zach Clark,Zach Clark,"Addison Timlin, Ally Sheedy, Keith Poulson, Barbara Crampton, Peter Hedges, Kristin Slaysman, Molly Plunk, Tony Greenberg, Brian McCarthy, Rebecca Morris, Amber Joy Williams, Sheila Barksdale, Andrew Brienza, Alston Brown, Sally Connors",10/14/2016,91,Wraith Films,94,34,56,555,74,"October, 2008. Young nun Colleen (Addison Timlin) is avoiding all contact from her family, until an email from her mother announces, Your brother is home. On returning to her childhood home in Asheville, NC, she finds her old room exactly how she left it: painted black and covered in goth/metal posters. Her parents (Ally Sheedy and Peter Hedges) are happy enough to see her, but unease and awkwardness abounds. Her brother (Keith Poulson) is living as a recluse in the guesthouse since returning home from the Iraq war. During Colleens visit, tensions rise and fall with a little help from Halloween, pot cupcakes, and GWAR. Little Sister is a sad comedy about family  a schmaltz-free, pathos-drenched, feel good movie for the little goth girl inside us all.",84,-28
174,London Has Fallen,R,Action & Adventure,Babak Najafi,"Chad St. John, Christian Gudegast, Babak Najafi, Creighton Rothenberger, Katrin Benedikt","Gerard Butler, Aaron Eckhart, Morgan Freeman, Melissa Leo, Angela Bassett, Charlotte Riley, Radha Mitchell, Jackie Earle Haley, Shivani Ghai, Robert Forster, Alon Aboutboul, Sean OBryan, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi, Martin Petrushev, Owen Davis Jr, Michael Wildman, Stacy Shane, Penny Downie, Clarkson Guy Williams, Patrick Kennedy, Colin Salmon, Deborah Grant, Andrew Pleavin, Nancy Baldwin, Madison Lowry, Nigel Whitmey, Julia Montgomery Brown, Tsuwayuki Saotome, Sadao Ueda, Alex Giannini, Elsa Mollien, Philip Delancy, Jean Baptiste Fillon, KemiBo Jacobs, Harrison Simon, Simon Connolly, Scott Sparrow, Ginny Holder, Terence Beesley, Bryan Larkin, Terence Randall, Joe Fidler, Boyan Anev, Nikesh Patel, Julian Kostov, Lucy NewmanWilliams, Owen Davis",3/4/2016,99,Focus Features,28,196,51,36950,28,"In London for the Prime Minister's funeral, Mike Banning (Gerard Butler) discovers a plot to assassinate all the attending world leaders.",28,23
175,London Town,R,Drama,Derrick Borte,Matt Brown,"Jonathan Rhys Meyers, Daniel Huttlestone, Dougray Scott, Natascha McElhone, Nell Williams, Tom Hughes, Kerry Howard, Meredith Ostrom, Anya McKenna Bruce, Yasmine Akram, Samuel Robertson, Jeff Leach, Huw Daffyd, Sam Fava, Alex Marx, Dallas Campbell, Alister Cameron, Tonia Campbell, Heather Bleasdale, Felix Sebastian Bild, Haydon Downing, Chris Brand, Rik Cunningham, Leanne Faulkner",10/7/2016,92,Dutch Tilt Film,53,17,68,309,46,"Experience the music and energy of the 1970s punk underground. When fifteen-year-old Shay (Daniel Huttlestone) hears the music of The Clash for the first time, its a revelation, opening up a new world of social consciousness and anti-establishment defiance beyond anything hes known in his dead-end London suburb. Drawn into the heart of the citys burgeoning punk scene, he forges two relationships that will change his life, falling in love with rebellious cool girl Vivian (Nell Williams) and finding an unexpected connection with none other than The Clashs electrifying frontman, Joe Strummer (Jonathan Rhys Meyers). [IFC Films]",49.5,18.5
176,Louder Than Bombs,R,Drama,Joachim Trier,"Joachim Trier, Eskil Vogt","Gabriel Byrne, Jesse Eisenberg, Devin Druid, Amy Ryan, Isabelle Huppert, David Strathairn, Rachel Brosnahan, Ruby Jerins, Megan Ketch, Russell Posner, Maryann Urbano, Donna Mitchell, Harry M Ford, Leslie Lyles, Luke Robertson, Peter Mark Kendall, Sean Cullen, Marielle Holland, Bridget McGarry, Charlie Rose",4/8/2016,109,Motlys AS,73,128,52,3088,70,"An upcoming exhibition celebrating photographer Isabelle Reed(Isabelle Huppert) three years after her untimely death brings her eldest son Jonah (Jesse Eisenberg) back to the family house - forcing him to spend more time with his father Gene (Gabriel Byrne) and withdrawn younger brother Conrad (Devin Druid) than he has in years. With the three of them under the same roof, Gene tries desperately to connect with his two sons, but they struggle to reconcile their feelings about the woman they remember so differently.",71.5,-19.5
177,Love & Friendship,PG,"Comedy, Drama",Whit Stillman,"Jane Austen, Whit Stillman","Kate Beckinsale, Chlo Sevigny, Xavier Samuel, Morfydd Clark, Emma Greenwell, Justin Edwards, Stephen Fry, Tom Bennett, Jenn Murray, James Fleet, Jemma Redgrave, Lochlann OMearain, Jordan Waller, Ross Mac Mahon, Jenni Murray, Frank Prendergast, Kelly Campbell III, Conor Lambert, Conor MacNeill, Frank Melia, Sylvie Benoiton, Daniel Magee, Rowan Finken, David Timbs, Laura Whelan, James Crerar, John Brennan, Olivia Fahy, Ellie Houlihan, Carla McGlynn",5/13/2016,93,Roadside Attractions,97,208,60,20164,87,"Set in the opulent drawing rooms of eighteenth-century English society, Love & Friendship focuses on the machinations of a beautiful widow, Lady Susan Vernon (Kate Beckinsale), who, while waiting for social chatter about a personal indiscretion to pass, takes up temporary residence at her in-laws estate. While there, the intelligent, flirtatious, and amusingly egotistical Lady Vernon is determined to be a matchmaker for her daughter Fredericaand herself too, naturally. She enlists the assistance of her old friend Alicia (Chlo Sevigny), but two particularly handsome suitors (Xavier Samuel and Tom Bennett) complicate her orchestrations.",92,-32
178,Loving,PG-13,Drama,Jeff Nichols,Jeff Nichols,"Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Jon Bass II, Terri Abney, Alano Miller, Will Dalton, Dean Mumford, Chris Greene, Benjamin Booker, Justin Robinson, Dennis Williams, Keith Tyree, Sharon Blackwood, Rebecca Turner, Christopher Mann, Bill Camp, Mike Shiflett, Winter Lee Holland, Karen Vicks, Lance Lemon, Marquis Adonis Hazelwood, Greg Cooper, Michael Abbott Jr, Robert Haulbrook, Bridget Gethins, Dave Jensen, Andrene WardHammond, Jevin Crochrell, Jordan Williams, Jr, Georgia Crawford, Coley Campany, Brenan Young, Dalyn M Cleckley, Quinn McPherson, DL Hopkins, Terry Menefee Gau, Matt Malloy, A Smith Harrison, Coby Batty, Jennifer Joyner, Scott Wichmann, Keith Flippen",11/4/2016,123,Big Beach Films,89,289,76,19682,79,"Loving celebrates the real-life courage and commitment of an interracial couple, Richard and Mildred Loving (Joel Edgerton and Ruth Negga), who married and then spent the next nine years fighting for the right to live as a family in their hometown. Their civil rights case, Loving v. Virginia, went all the way to the Supreme Court, which in 1967 reaffirmed the very foundation of the right to marry - and their love story has become an inspiration to couples ever since.",84,-8
179,Lucha Mexico,NR,Documentary,"Alex Hammond, Ian Markiewicz",Ian Markiewicz,"Perro Aguayo, Jr, Shocker, Blue Demon Jr, Jon Strongman Andersen, El Hijo del Perro Aguayo, Fabian El Gitano, Matt Bloom, Jair Soria Reyna",7/15/2016,105,Children of Productions,69,13,62,115,56,"Focusing on a fascinating group of luchadores/performers, like Shocker (or 1000% Guapo), Jon ""Strongman"" Andersen, Blue Demon Jr., Fabian El Gitano and El Hijo Del Perro Aguayo, among many others, Lucha Mexico reveals what it takes to succeed in the Lucha Libre business  also capturing the excitement over this unique mix of brawling, entertainment and acrobatics.",62.5,-0.5
180,Maggie's Plan,R,"Comedy, Romance",Rebecca Miller,Rebecca Miller,"Greta Gerwig, Ethan Hawke, Julianne Moore, Travis Fimmel, Bill Hader, Maya Rudolph, Monte Greene, Fredi WalkerBrowne, Wallace Shawn, Mina Sundwall, Jackson Frazer, Ida Rohatyn, George Ashiotis, Brendan Titley, Stephen Lin, Alex Morf, Angela Trento, Kathleen Hanna, Tommy Buck, Sue Jean Kim",5/20/2016,98,Rachael Horovitz Productions,87,180,52,8101,76,"Maggie Hardin (Greta Gerwig) is a vibrant and practical thirty-something New Yorker working in education, who without success in finding love, decides now is the time to have a child on her own. But when she meets John Harding (Ethan Hawke), an anthropology professor and struggling novelist, Maggie falls in love for the first time, and adjusts her plans for motherhood. Complicating matters, John is in an unhappy marriage with Georgette Harding (Julianne Moore), an ambitious academic who is driven by her work. With some help from Maggie's best friends, married couple Tony (Bill Hader) and Felicia (Maya Rudolph), Maggie sets in motion a new plan that intertwines their lives and connects them in surprising and humorous ways. Maggie learns that sometimes destiny should be left to its own devices. [Sony Pictures Classics]",81.5,-29.5
181,Man Down,R,Drama,Dito Montiel,"Adam Simon, Dito Montiel","Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara, Tory Kittles, Clifton Collins Jr, Charlie Shotwell, Jose Pablo Cantillo, Justin Smith, Paul Sado, Pierre Kennel, Ned Yousef, Jaylen Moore, Ian Casselberry, Jim Klock, Bill OReilly, Kenzo Cervoni, Wole Parks, Naz Devarian, Naz Deravian, Zehra Fazal, Reem Kadem, Mustafa Haidari, Gregory Nicholas Vrotsos, Adrienne Lockett, Christopher Berry, Kenny Williams",12/2/2016,90,Krannel Pictures,16,55,58,3680,28,"When U.S. Marine Gabriel Drummer (Shia LaBeouf) returns home from his tour in Afghanistan, he finds that the place he once called home is no better than the battlefields he fought on overseas. Accompanied by his best friend Devin Roberts (Jai Courtney), a hard-nosed marine whose natural instinct is to shoot first and ask questions later, he searches desperately for the whereabouts of his estranged son, Jonathan (Charlie Shotwell) and wife, Natalie (Kate Mara). In their search, the two intercept Charles (Clifton Collins), a man carrying vital information about the whereabouts of Gabriel's family. [Lionsgate Premiere]",22,36
182,Manchester by the Sea,R,Drama,Kenneth Lonergan,Kenneth Lonergan,"Casey Affleck, Kyle Chandler, Lucas Hedges, Gretchen Mol, Josh Hamilton, CJ Wilson, Kara Hayward, Matthew Broderick, Tate Donovan, Paul Meredith",12/16/2016,137,Roadside Attractions?,96,347,78,50194,96,"After the death of his older brother Joe (Kyle Chandler), Lee Chandler (Casey Affleck) is shocked to learn that Joe has made him sole guardian of his nephew Patrick (Lucas Hedges). Taking leave of his job, Lee reluctantly returns to Manchester-by-the-Sea to care for Patrick, a spirited 15-year-old, and is forced to deal with a past that separated him from his wife Randi (Michelle Williams) and the community where he was born and raised.   Bonded by the man who held their family together, Lee and Patrick struggle to adjust to a world without him.",96,-18
183,Mascots,NR,Comedy,Christopher Guest,"Christopher Guest, Jim Piddock","Jane Lynch, Parker Posey, Fred Willard, Ed Begley Jr, Christopher Guest, Christopher Moynihan, Zach Woods, Sandra Rosko, Jennifer Coolidge, John Michael Higgins, Bob Balaban, Harry Shearer",10/13/2016,95,Netflix,49,47,36,667,57,"Mascots compete for the most prestigious award in their field, the Gold Fluffy.",53,-17
184,Masterminds,PG-13,Comedy,Jared Hess,"Chris Bowman, Hubbel Palmer, Emily Spivey","Zach Galifianakis, Owen Wilson, Kristen Wiig, Ken Marino, Jason Sudeikis, Devin Ratray, Jon Daly, Leslie Jones, Mary Elizabeth Ellis, Kate McKinnon, Rhoda Griffis, Daniel Zacapa, Matt Corboy, Fred Galle, Nicole Michele Sobchack, Barry J Ratcliffe, Jill Jane Clements, Tom Werme, Njema Williams, Nils Cruz, Michael Angel Fraguada, Christian Gonzalez, Karsten Friske, Dallas J Edwards, Shelton Grant, Laura Palka, Reegus Flenory, Joseph S Wilson, Jee An, Nicole Sobchack, Vincent Garcia, Eizzil Cintron Valenzuela, Anne Johnson, Timothy Timms, Kevin J OConnor, Jay Amor, Allegra Nova, Marlo Scheitler, Chris Matheny, Wil Smith Smith, Danny Comden, Candace Blanchard, Gabriel Manak, Wynn Reichert, Ross Kimball, Josue Gutierrez, Ron Stafford, Miller Carbon",9/30/2016,95,Relativity Media,34,98,35,27426,47,"David Ghantt (Zach Galifianakis) discovers the true meaning of adventure far beyond his wildest dreams. He is an uncomplicated man stuck in a monotonous life. Day in and day out he drives an armored vehicle, transporting millions of other peoples money with no escape in sight. The only glimmer of excitement is his flirtatious work crush Kelly Campbell (Kristen Wiig) who soon lures him into the scheme of a lifetime. Along with a group of half-brained criminals led by Steve Chambers (Owen Wilson) and an absurd heist plan, David manages the impossible and makes off with $17 million in cash. The only problem is he foolishly hands the money over to this wild group of double crossers and is set up to take the fall. With the bandits blowing the millions on lavish and ridiculous luxuries, they leave behind a glaring trail of evidence. Now on the lam and in over his head, David must dodge the authorities, evade a hitman, Mike McKinney (Jason Sudeikis), and try to turn the tables on the ones he trusted most.",40.5,-5.5
185,Mavis!,NR,Documentary,Jessica Edwards,Jessica Edwards,Mavis Staples,2/19/2016,80,Film First Co.,97,32,65,161,71,"Her family group, the Staple Singers, inspired millions and helped propel the civil rights movement with their music. After 60 years of performing, legendary singer Mavis Staples' message of love and equality is needed now more than ever.",84,-19
186,Max Steel,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",Stewart Hendler,Christopher Yost,"Ben Winchell, Maria Bello, Ana Villafae, Josh Brener, Andy Garcia, Mike Doyle, Phillip DeVona, Billy Slaughter, Al Mitchell, Lawrence Kao, Jahnee Wallace, AvisMarie Barnes, Brandon Larracuente, Clayton Frey, Megan Hayes, Elizabeth Faith Ludlow, Will Milvid, Adam Poole, Tim Greene, Rochelle Aycoth, Mary Christina Brown, Noah Clevenger, Emily Grealish, Megan Grealish, Richard Wes Howren, Julionne Johnson, Nachele Johnson, Brett Kelley, Kyle Martinez, Payton McAdams, Kaitlyn McCarthy, Amijah McEachern, Brigham McNeely, Michael Mercaldi, Briana Morell, Gabrielle Morell, Niyi Oni",10/14/2016,92,Open Road Films,0,21,48,6838,22,"16-year old Max McGrrath has just moved to a new town - and is desperately trying to fit in - when he discovers his body can generate the universes most powerful energy. Unbeknown to Max, a slightly rebellious and hilarious techno-organic extraterrestrial named Steel has been keeping an eye on him, hungry for his super-human energy.  When they finally meet, they discover that together they form Max Steel, a superhero possessing powerful strength beyond anything in our world.  These two unlikely friends soon find themselves hunted by sinister forces who want to control Maxs powers, as well as an unstoppable enemy from another galaxy.",11,37
187,Me Before You,PG-13,Drama,Thea Sharrock,Jojo Moyes,"Emilia Clarke, Sam Claflin, Vanessa Kirby, Charles Dance, JennaLouise Coleman, Matthew Lewis, Janet McTeer, Stephen Peacocke, Brendan Coyle, Ben LloydHughes, Eileen Dunwoodie, Pablo Raybould, Gabrielle Downey, Henri Kirkham, Samantha Spiro, Muzz Khan, Richard Goulding, Diane Morgan, Stephen Chance, Joanna Lumley, Sharon Ballard, Lily Travers, Chuku Modu, Verity Marshall, Manuel Severi, Remi Adefarasin, Thea Sharrock, Sue BadenPowell, Jojo Moyes, Alison Owen, Linda Brenon, Karen Rosenfelt, Hannah Flynn, Jared Garfield",6/3/2016,110,Warner Bros. Pictures,54,178,73,30695,51,"Louisa Lou Clark (Emilia Clarke) lives in a quaint town in the English countryside.  With no clear direction in her life, the quirky and creative 26-year-old goes from one job to the next in order to help her tight-knit family make ends meet.   Her normally cheery outlook is put to the test, however, when she faces her newest career challenge.  Taking a job at the local castle, she becomes caregiver and companion to Will Traynor (Sam Claflin), a wealthy young banker who became wheelchair bound in an accident two years prior, and whose whole world changed dramatically in the blink of an eye.  No longer the adventurous soul he once was, the now cynical Will has all but given up.  That is until Lou determines to show him that life is worth living.  Embarking together on a series of adventures, both Lou and Will get more than they bargained for, and find their livesand heartschanging in ways neither one could have imagined.",52.5,20.5
188,Mechanic: Resurrection,R,"Action & Adventure, Mystery & Suspense",Dennis Gansel,"Philip Shelby, Tony Mosher","Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh, Sam Hazeldine, John Cenatiempo, Toby Eddington, Femi Elufowoju Jr, Anteo Quintaville, Rhatha Phongam",8/26/2016,99,Summit Entertainment,31,59,40,25631,38,"Arthur Bishop (Jason Statham) returns as the Mechanic in the sequel to the 2011 action thriller. When the deceitful actions of a cunning but beautiful woman (Jessica Alba) force him to return to the life he left behind, Bishop's life is once again in danger as he has to complete an impossible list of assassinations of the most dangerous men in the world. [Lionsgate]",34.5,5.5
189,Mia Madre,R,"Art House & International, Comedy, Drama",Nanni Moretti,"Francesco Piccolo, Valia Santella, Nanni Moretti","Margherita Buy, John Turturro, Giulia Lazzarini, Nanni Moretti, Beatrice Mancini, Stefano Abbati, Anna Bellato, Lorenzo Gioielli, Enrico Ianniello, Pietro Ragusa, Domenico Procacci, Francesco Piccolo, Valia Santella, Francesco Brandi, Gianluca Gobbi, Stefano Patti, Tony Laudadio, Davide Iacopini, Tatiana Lepore, Domenico Diele, Renato Scarpa",8/26/2016,106,Music Box Films,83,89,60,2688,70,"Margherita (Margherita Buy) is a harried film director trying to juggle the demands of her latest movie and a personal life in crisis. The star of her film, a charming but hammy American actor (John Turturro) imported for the production, initially presents nothing but headaches and her crew is close to mutiny. Away from the shoot, Margherita tries to hold her life together as her beloved mothers illness progresses, and her teenage daughter grows ever more distant. [Music Box Films]",76.5,-16.5
190,Middle School: The Worst Years of My Life,PG,Comedy,Steve Carr,"Chris Bowman, Kara Holden, Hubbel Palmer","Griffin Gluck, Lauren Graham, Rob Riggle, Thomas Barbusca, Andrew Daly, Adam Pally, Isabella Amara, Efren Ramirez, Retta, Jacob Hopkins, Alexa Nisenson, Luke Christopher Hardeman, Jessi Goei, Gemma Forbes, Jonah Bowling, Madeleine Stack, Angela Oh, Miranda Saliva, Ricardo Riveron, Bethany Hartman, Jake Buffenbarger, Trey Carroll, Alyssa Riley Burrell, Storm Bell, Tabitha Ott, Celine Borroto Alvarez, Montana Jacobowitz, Patrick Fagan, Nora Ordinario, Emma Dison Brantley, Santana Draper, Patti Schellhaas, Jonathan Kankolenski, Isabela Merced, Inder Kumar",10/7/2016,92,James Patterson Entertainment,63,43,58,5371,51,"Rafe has an epic imagination...and a slight problem with authority. Both collide when he transfers to an oppressive, rule-crazy middle school. Drowning in do's and don'ts, Rafe and his scheming best friend Leo hatch a plan to break every rule in the school's Code of Conduct. It's Ferris Bueller meets Home Alone as their battle with Principal Dwight explodes into chaos both real and imagined. But Dwight displays his own fiendish creativity, striking back at the rulebreakers. Meanwhile, Rafe struggles to hide his misbehavior from Jeanne, the straight-A, overachieving girl of his dreams, and at home, his mother's boyfriend -- a moochy, jack-of-no-trades named Bear -- threatens to become his stepfather. [CBS Films]",57,1
